Lon	 Lat
173.025955 	 -83.534328 
173.028493 	 -83.534030 
173.033153 	 -83.533392 
173.037250 	 -83.532693 
173.039078 	 -83.532317 
173.042183 	 -83.531498 
173.044350 	 -83.530602 
173.045003 	 -83.530128 
173.045422 	 -83.529147 
173.044680 	 -83.528128 
173.043820 	 -83.527612 
173.041093 	 -83.526583 
173.039228 	 -83.526082 
173.034698 	 -83.525118 
173.029122 	 -83.524228 
173.025975 	 -83.523817 
173.019042 	 -83.523065 
173.011313 	 -83.522423 
173.007163 	 -83.522153 
172.998463 	 -83.521715 
172.993953 	 -83.521550 
