Lon	 Lat
171.467805 	 -83.759907 
171.467805 	 -83.759907 
171.467805 	 -83.759907 
171.467945 	 -83.759312 
171.467945 	 -83.759312 
171.467945 	 -83.759312 
171.468115 	 -83.758717 
171.468115 	 -83.758717 
171.468115 	 -83.758717 
171.468115 	 -83.758717 
171.468308 	 -83.758123 
171.468308 	 -83.758123 
171.468308 	 -83.758123 
171.468525 	 -83.757530 
171.468525 	 -83.757530 
171.468525 	 -83.757530 
171.468525 	 -83.757530 
171.468745 	 -83.756937 
171.468745 	 -83.756937 
171.468745 	 -83.756937 
171.468953 	 -83.756340 
171.468953 	 -83.756340 
171.468953 	 -83.756340 
171.469157 	 -83.755743 
171.469157 	 -83.755743 
171.469157 	 -83.755743 
171.469157 	 -83.755743 
171.469392 	 -83.755145 
171.469392 	 -83.755145 
171.469392 	 -83.755145 
171.469767 	 -83.754548 
171.469767 	 -83.754548 
171.469767 	 -83.754548 
171.470415 	 -83.753952 
171.470415 	 -83.753952 
171.470415 	 -83.753952 
171.471377 	 -83.753358 
171.471377 	 -83.753358 
171.471377 	 -83.753358 
171.471377 	 -83.753358 
171.472633 	 -83.752775 
171.472633 	 -83.752775 
171.472633 	 -83.752775 
171.474143 	 -83.752202 
171.474143 	 -83.752202 
171.474143 	 -83.752202 
171.475878 	 -83.751637 
171.475878 	 -83.751637 
171.475878 	 -83.751637 
171.475878 	 -83.751637 
171.477838 	 -83.751083 
171.477838 	 -83.751083 
171.477838 	 -83.751083 
171.480010 	 -83.750542 
171.480010 	 -83.750542 
171.480010 	 -83.750542 
171.482390 	 -83.750012 
171.482390 	 -83.750012 
171.482390 	 -83.750012 
171.482390 	 -83.750012 
171.484965 	 -83.749493 
171.484965 	 -83.749493 
171.484965 	 -83.749493 
171.487707 	 -83.748987 
171.487707 	 -83.748987 
171.487707 	 -83.748987 
171.487707 	 -83.748987 
171.490568 	 -83.748490 
171.490568 	 -83.748490 
171.490568 	 -83.748490 
171.493507 	 -83.747997 
171.493507 	 -83.747997 
171.493507 	 -83.747997 
171.496487 	 -83.747505 
171.496487 	 -83.747505 
171.496487 	 -83.747505 
171.496487 	 -83.747505 
171.499533 	 -83.747020 
171.499533 	 -83.747020 
171.499533 	 -83.747020 
171.502723 	 -83.746542 
171.502723 	 -83.746542 
171.502723 	 -83.746542 
171.506080 	 -83.746080 
171.506080 	 -83.746080 
171.506080 	 -83.746080 
171.509588 	 -83.745630 
171.509588 	 -83.745630 
171.509588 	 -83.745630 
171.509588 	 -83.745630 
171.513220 	 -83.745192 
171.513220 	 -83.745192 
171.513220 	 -83.745192 
171.516917 	 -83.744760 
171.516917 	 -83.744760 
171.516917 	 -83.744760 
171.520682 	 -83.744335 
171.520682 	 -83.744335 
171.520682 	 -83.744335 
171.524537 	 -83.743920 
171.524537 	 -83.743920 
171.524537 	 -83.743920 
171.524537 	 -83.743920 
171.528472 	 -83.743513 
171.528472 	 -83.743513 
171.528472 	 -83.743513 
171.532490 	 -83.743120 
171.532490 	 -83.743120 
171.532490 	 -83.743120 
171.536573 	 -83.742735 
171.536573 	 -83.742735 
171.536573 	 -83.742735 
171.536573 	 -83.742735 
171.540665 	 -83.742350 
171.540665 	 -83.742350 
171.540665 	 -83.742350 
171.544788 	 -83.741967 
171.544788 	 -83.741967 
171.544788 	 -83.741967 
171.548963 	 -83.741582 
171.548963 	 -83.741582 
171.548963 	 -83.741582 
171.548963 	 -83.741582 
171.553142 	 -83.741195 
171.553142 	 -83.741195 
171.553142 	 -83.741195 
171.557337 	 -83.740810 
171.557337 	 -83.740810 
171.557337 	 -83.740810 
171.561513 	 -83.740428 
171.561513 	 -83.740428 
171.561513 	 -83.740428 
171.561513 	 -83.740428 
171.565682 	 -83.740050 
171.565682 	 -83.740050 
171.565682 	 -83.740050 
171.569828 	 -83.739672 
171.569828 	 -83.739672 
171.569828 	 -83.739672 
171.573968 	 -83.739295 
171.573968 	 -83.739295 
171.573968 	 -83.739295 
171.578113 	 -83.738922 
171.578113 	 -83.738922 
171.578113 	 -83.738922 
171.578113 	 -83.738922 
171.582278 	 -83.738553 
171.582278 	 -83.738553 
171.582278 	 -83.738553 
171.586463 	 -83.738190 
171.586463 	 -83.738190 
171.586463 	 -83.738190 
171.590665 	 -83.737833 
171.590665 	 -83.737833 
171.590665 	 -83.737833 
171.590665 	 -83.737833 
171.594840 	 -83.737477 
171.594840 	 -83.737477 
171.594840 	 -83.737477 
171.598985 	 -83.737123 
171.598985 	 -83.737123 
171.598985 	 -83.737123 
171.603153 	 -83.736783 
171.603153 	 -83.736783 
171.603153 	 -83.736783 
171.603153 	 -83.736783 
171.607285 	 -83.736443 
171.607285 	 -83.736443 
171.607285 	 -83.736443 
171.611402 	 -83.736107 
171.611402 	 -83.736107 
171.611402 	 -83.736107 
171.611402 	 -83.736107 
171.615498 	 -83.735772 
171.615498 	 -83.735772 
171.615498 	 -83.735772 
171.619588 	 -83.735442 
171.619588 	 -83.735442 
171.619588 	 -83.735442 
171.623668 	 -83.735110 
171.623668 	 -83.735110 
171.623668 	 -83.735110 
171.623668 	 -83.735110 
171.627737 	 -83.734782 
171.627737 	 -83.734782 
171.627737 	 -83.734782 
171.631793 	 -83.734453 
171.631793 	 -83.734453 
171.631793 	 -83.734453 
171.635848 	 -83.734127 
171.635848 	 -83.734127 
171.635848 	 -83.734127 
171.635848 	 -83.734127 
171.639908 	 -83.733802 
171.639908 	 -83.733802 
171.639908 	 -83.733802 
171.643922 	 -83.733472 
171.643922 	 -83.733472 
171.643922 	 -83.733472 
171.647865 	 -83.733135 
171.647865 	 -83.733135 
171.647865 	 -83.733135 
171.647865 	 -83.733135 
171.651762 	 -83.732795 
171.651762 	 -83.732795 
171.651762 	 -83.732795 
171.655628 	 -83.732450 
171.655628 	 -83.732450 
171.655628 	 -83.732450 
171.659465 	 -83.732105 
171.659465 	 -83.732105 
171.659465 	 -83.732105 
171.659465 	 -83.732105 
171.663310 	 -83.731760 
171.663310 	 -83.731760 
171.663310 	 -83.731760 
171.667137 	 -83.731413 
171.667137 	 -83.731413 
171.667137 	 -83.731413 
171.667137 	 -83.731413 
171.670968 	 -83.731067 
171.670968 	 -83.731067 
171.670968 	 -83.731067 
171.674797 	 -83.730718 
171.674797 	 -83.730718 
171.674797 	 -83.730718 
171.678628 	 -83.730370 
171.678628 	 -83.730370 
171.678628 	 -83.730370 
171.682483 	 -83.730022 
171.682483 	 -83.730022 
171.682483 	 -83.730022 
171.682483 	 -83.730022 
171.686365 	 -83.729672 
171.686365 	 -83.729672 
171.686365 	 -83.729672 
171.690255 	 -83.729322 
171.690255 	 -83.729322 
171.690255 	 -83.729322 
171.694145 	 -83.728972 
171.694145 	 -83.728972 
171.694145 	 -83.728972 
171.694145 	 -83.728972 
171.698038 	 -83.728620 
171.698038 	 -83.728620 
171.698038 	 -83.728620 
171.701930 	 -83.728267 
171.701930 	 -83.728267 
171.701930 	 -83.728267 
171.705815 	 -83.727915 
171.705815 	 -83.727915 
171.705815 	 -83.727915 
171.705815 	 -83.727915 
171.709720 	 -83.727563 
171.709720 	 -83.727563 
171.709720 	 -83.727563 
171.713625 	 -83.727215 
171.713625 	 -83.727215 
171.713625 	 -83.727215 
171.717522 	 -83.726867 
171.717522 	 -83.726867 
171.717522 	 -83.726867 
171.721403 	 -83.726518 
171.721403 	 -83.726518 
171.721403 	 -83.726518 
171.721403 	 -83.726518 
171.725285 	 -83.726172 
171.725285 	 -83.726172 
171.725285 	 -83.726172 
171.729168 	 -83.725825 
171.729168 	 -83.725825 
171.729168 	 -83.725825 
171.733032 	 -83.725478 
171.733032 	 -83.725478 
171.733032 	 -83.725478 
171.733032 	 -83.725478 
171.736867 	 -83.725128 
171.736867 	 -83.725128 
171.736867 	 -83.725128 
171.740688 	 -83.724775 
171.740688 	 -83.724775 
171.740688 	 -83.724775 
171.744503 	 -83.724420 
171.744503 	 -83.724420 
171.744503 	 -83.724420 
171.744503 	 -83.724420 
171.748327 	 -83.724065 
171.748327 	 -83.724065 
171.748327 	 -83.724065 
171.752153 	 -83.723708 
171.752153 	 -83.723708 
171.752153 	 -83.723708 
171.752153 	 -83.723708 
171.755975 	 -83.723353 
171.755975 	 -83.723353 
171.755975 	 -83.723353 
171.759815 	 -83.722997 
171.759815 	 -83.722997 
171.759815 	 -83.722997 
171.763643 	 -83.722635 
171.763643 	 -83.722635 
171.763643 	 -83.722635 
171.767503 	 -83.722277 
171.767503 	 -83.722277 
171.767503 	 -83.722277 
171.767503 	 -83.722277 
171.771383 	 -83.721920 
171.771383 	 -83.721920 
171.771383 	 -83.721920 
171.775277 	 -83.721565 
171.775277 	 -83.721565 
171.775277 	 -83.721565 
171.775277 	 -83.721565 
171.779203 	 -83.721205 
171.779203 	 -83.721205 
171.779203 	 -83.721205 
171.783145 	 -83.720842 
171.783145 	 -83.720842 
171.783145 	 -83.720842 
171.787098 	 -83.720477 
171.787098 	 -83.720477 
171.787098 	 -83.720477 
171.787098 	 -83.720477 
171.791038 	 -83.720112 
171.791038 	 -83.720112 
171.791038 	 -83.720112 
171.794985 	 -83.719747 
171.794985 	 -83.719747 
171.794985 	 -83.719747 
171.798977 	 -83.719388 
171.798977 	 -83.719388 
171.798977 	 -83.719388 
171.798977 	 -83.719388 
171.802882 	 -83.719035 
171.802882 	 -83.719035 
171.802882 	 -83.719035 
171.806905 	 -83.718672 
171.806905 	 -83.718672 
171.806905 	 -83.718672 
171.810908 	 -83.718313 
171.810908 	 -83.718313 
171.810908 	 -83.718313 
171.810908 	 -83.718313 
171.814967 	 -83.717963 
171.814967 	 -83.717963 
171.814967 	 -83.717963 
171.819067 	 -83.717617 
171.819067 	 -83.717617 
171.819067 	 -83.717617 
171.819067 	 -83.717617 
171.823212 	 -83.717272 
171.823212 	 -83.717272 
171.823212 	 -83.717272 
171.827348 	 -83.716923 
171.827348 	 -83.716923 
171.827348 	 -83.716923 
171.831370 	 -83.716553 
171.831370 	 -83.716553 
171.831370 	 -83.716553 
171.835457 	 -83.716193 
171.835457 	 -83.716193 
171.835457 	 -83.716193 
171.835457 	 -83.716193 
171.839570 	 -83.715840 
171.839570 	 -83.715840 
171.839570 	 -83.715840 
171.843710 	 -83.715490 
171.843710 	 -83.715490 
171.843710 	 -83.715490 
171.843710 	 -83.715490 
171.847862 	 -83.715145 
171.847862 	 -83.715145 
171.847862 	 -83.715145 
171.851920 	 -83.714788 
171.851920 	 -83.714788 
171.851920 	 -83.714788 
171.856017 	 -83.714438 
171.856017 	 -83.714438 
171.856017 	 -83.714438 
171.856017 	 -83.714438 
171.860138 	 -83.714095 
171.860138 	 -83.714095 
171.860138 	 -83.714095 
171.864278 	 -83.713755 
171.864278 	 -83.713755 
171.864278 	 -83.713755 
171.868423 	 -83.713420 
171.868423 	 -83.713420 
171.868423 	 -83.713420 
171.868423 	 -83.713420 
171.872567 	 -83.713087 
171.872567 	 -83.713087 
171.872567 	 -83.713087 
171.876698 	 -83.712755 
171.876698 	 -83.712755 
171.876698 	 -83.712755 
171.880802 	 -83.712422 
171.880802 	 -83.712422 
171.880802 	 -83.712422 
171.880802 	 -83.712422 
171.884885 	 -83.712088 
171.884885 	 -83.712088 
171.884885 	 -83.712088 
171.888948 	 -83.711748 
171.888948 	 -83.711748 
171.888948 	 -83.711748 
171.892767 	 -83.711373 
171.892767 	 -83.711373 
171.892767 	 -83.711373 
171.892767 	 -83.711373 
171.896705 	 -83.711010 
171.896705 	 -83.711010 
171.896705 	 -83.711010 
171.900697 	 -83.710653 
171.900697 	 -83.710653 
171.900697 	 -83.710653 
171.900697 	 -83.710653 
171.904625 	 -83.710293 
171.904625 	 -83.710293 
171.904625 	 -83.710293 
171.908545 	 -83.709938 
171.908545 	 -83.709938 
171.908545 	 -83.709938 
171.912462 	 -83.709585 
171.912462 	 -83.709585 
171.912462 	 -83.709585 
171.916377 	 -83.709233 
171.916377 	 -83.709233 
171.916377 	 -83.709233 
171.916377 	 -83.709233 
171.920290 	 -83.708887 
171.920290 	 -83.708887 
171.920290 	 -83.708887 
171.924213 	 -83.708543 
171.924213 	 -83.708543 
171.924213 	 -83.708543 
171.928133 	 -83.708202 
171.928133 	 -83.708202 
171.928133 	 -83.708202 
171.928133 	 -83.708202 
171.932033 	 -83.707862 
171.932033 	 -83.707862 
171.932033 	 -83.707862 
171.935937 	 -83.707522 
171.935937 	 -83.707522 
171.935937 	 -83.707522 
171.939832 	 -83.707187 
171.939832 	 -83.707187 
171.939832 	 -83.707187 
171.939832 	 -83.707187 
171.943682 	 -83.706847 
171.943682 	 -83.706847 
171.943682 	 -83.706847 
171.947607 	 -83.706517 
171.947607 	 -83.706517 
171.947607 	 -83.706517 
171.951527 	 -83.706177 
171.951527 	 -83.706177 
171.951527 	 -83.706177 
171.955478 	 -83.705837 
171.955478 	 -83.705837 
171.955478 	 -83.705837 
